,Date,Primogem Used,Total Users
205,2023-04-22,718753.9369409254,300734
206,2023-04-23,654188.7355342787,300734
207,2023-04-24,570870.9609882206,300734
208,2023-04-25,512260.10811053327,300734
209,2023-04-26,378141.29748061224,300734
210,2023-04-27,460320.71187684283,300734
211,2023-04-28,443237.47238227323,300734
212,2023-04-29,468346.05296753644,300734
213,2023-04-30,576233.5973566846,300734
214,2023-05-01,1284297.529172897,300734
215,2023-05-02,401798.0280296928,300734
216,2023-05-03,2891650.7013561376,285019
217,2023-05-04,939181.2875495477,285019
218,2023-05-05,767279.0348752388,285019
219,2023-05-06,719971.4464705292,285019
220,2023-05-07,626417.5378095396,285019
221,2023-05-08,562343.6963035869,285019
222,2023-05-09,505650.5734500751,285019
223,2023-05-10,474987.9503582166,285019
224,2023-05-11,451741.71879773773,285019
225,2023-05-12,435057.5133180539,285019
226,2023-05-13,824350.290245502,285019
227,2023-05-14,539047.5227125938,285019
228,2023-05-15,377319.1751116348,285019
229,2023-05-16,431046.0980813842,285019
230,2023-05-17,327198.7802025996,285019
231,2023-05-18,306991.8779277078,285019
232,2023-05-19,292658.51517009194,285019
233,2023-05-20,314977.2518781616,285019
234,2023-05-21,324653.52029031515,285019
235,2023-05-22,262786.04634672817,285019
236,2023-05-23,129508.60334342119,285019
237,2023-05-24,41105.85840119661,285019
238,2023-05-25,1159310.4508977532,288141
239,2023-05-26,754054.7791561866,288141
240,2023-05-27,707428.5221955484,288141
241,2023-05-28,575280.8335413564,288141
242,2023-05-29,551038.836747867,288141
243,2023-05-30,430724.08519367065,288141
244,2023-05-31,645538.4663430937,288141
245,2023-06-01,1231827.726206924,288141
246,2023-06-02,573547.2910070276,288141
247,2023-06-03,498061.4319151903,288141
248,2023-06-04,434794.8915429402,288141
249,2023-06-05,365479.06393895776,288141
250,2023-06-06,323968.9136020201,288141
251,2023-06-07,291949.2617963034,288141
252,2023-06-08,317333.15426912176,288141
253,2023-06-09,314092.0334512075,288141
254,2023-06-10,351381.30957769486,288141
255,2023-06-11,364790.82167906006,288141
256,2023-06-12,321438.4589772835,288141
257,2023-06-13,176697.14440952492,288141
258,2023-06-14,2409361.9585800692,292264
259,2023-06-15,849051.1282367745,292264
260,2023-06-16,935600.1016340193,292264
261,2023-06-17,696233.2899501023,292264
262,2023-06-18,667226.1613590481,292264
263,2023-06-19,534202.5697416164,292264
264,2023-06-20,574090.3136242728,292264
265,2023-06-21,518214.52100503794,292264
266,2023-06-22,470374.78232490347,292264
267,2023-06-23,851495.5680751535,292264
268,2023-06-24,570042.0253637384,292264
269,2023-06-25,517283.1457158618,292264
270,2023-06-26,438980.3741117734,292264
271,2023-06-27,431625.19921981427,292264
272,2023-06-28,364154.2886051869,292264
273,2023-06-29,342349.347268339,292264
274,2023-06-30,452090.2378392013,292264
275,2023-07-01,1097982.1890544868,292264
276,2023-07-02,545928.8199979397,292264
277,2023-07-03,459527.7906899503,292264
278,2023-07-04,220665.3338557677,292264
279,2023-07-05,23840.85374694217,292264
280,2023-07-06,917544.2273493522,232291
281,2023-07-07,691588.1256494792,232291
282,2023-07-08,526282.939313761,232291
283,2023-07-09,549056.3356343007,232291
284,2023-07-10,434520.3031666731,232291
285,2023-07-11,485325.3907129312,232291
286,2023-07-12,370144.2631658202,232291
287,2023-07-13,339912.0619342252,232291
288,2023-07-14,341070.49527324433,232291
289,2023-07-15,336041.49145732523,232291
290,2023-07-16,407082.3731944846,232291
291,2023-07-17,305800.7345880713,232291
292,2023-07-18,275541.1553159677,232291
293,2023-07-19,237148.58688528524,232291
294,2023-07-20,253450.49888061045,232291
295,2023-07-21,259264.91023361924,232291
296,2023-07-22,257711.2064347576,232291
297,2023-07-23,268321.90825936256,232291
298,2023-07-24,269403.34085945133,232291
299,2023-07-25,177970.95232599822,232291
300,2023-07-26,2315536.9691286744,291506
301,2023-07-27,898712.158774714,291506
302,2023-07-28,728566.8573307054,291506
303,2023-07-29,686409.3450740487,291506
304,2023-07-30,635104.4932240386,291506
305,2023-07-31,716077.9874063884,291506
306,2023-08-01,1384144.8032173917,291506
307,2023-08-02,645441.7047156731,291506
308,2023-08-03,548428.8649446988,291506
309,2023-08-04,862907.5416532494,291506
310,2023-08-05,588726.604234337,291506
311,2023-08-06,516058.2883017852,291506
312,2023-08-07,437928.68365647976,291506
313,2023-08-08,423320.05535037257,291506
314,2023-08-09,379727.04080356454,291506
315,2023-08-10,375299.31373971986,291506
316,2023-08-11,363930.135601721,291506
317,2023-08-12,373969.0816175129,291506
318,2023-08-13,369228.73405492416,291506
319,2023-08-14,341056.2041094312,291506
320,2023-08-15,185954.96666620902,291506
321,2023-08-16,47885.16639436062,291506
322,2023-08-17,1933791.009009868,327050
323,2023-08-18,1385083.7781878393,327050
324,2023-08-19,1181433.3919966735,327050
325,2023-08-20,1056305.5209088277,327050
326,2023-08-21,852622.9731304806,327050
327,2023-08-22,766521.5800078706,327050
328,2023-08-23,680397.6737742336,327050
329,2023-08-24,766264.2873104196,327050
330,2023-08-25,664892.5725940941,327050
331,2023-08-26,757035.5198687249,327050
332,2023-08-27,657421.4358918614,327050
333,2023-08-28,726647.6442204056,327050
334,2023-08-29,535776.664695758,327050
335,2023-08-30,457667.4259877189,327050
336,2023-08-31,552851.2513303484,327050
337,2023-09-01,1167271.0370813564,327050
338,2023-09-02,687532.7218904209,327050
339,2023-09-03,573595.4750623334,327050
340,2023-09-04,517898.0383816334,327050
341,2023-09-05,320134.8307240178,327050
342,2023-09-06,2107643.6826426336,286662
343,2023-09-07,846766.9009569783,286662
344,2023-09-08,772903.7602044605,286662
345,2023-09-09,780076.0877876563,286662
346,2023-09-10,632893.8118807044,286662
347,2023-09-11,480606.7583675639,286662
348,2023-09-12,409161.2376597024,286662
349,2023-09-13,369917.2326112261,286662
350,2023-09-14,379916.41707872465,286662
351,2023-09-15,705310.6537621836,286662
352,2023-09-16,615631.90615057,286662
353,2023-09-17,452970.9452806165,286662
354,2023-09-18,362700.5299490325,286662
355,2023-09-19,335653.0975391667,286662
356,2023-09-20,285588.14730101085,286662
357,2023-09-21,269782.4015705813,286662
358,2023-09-22,271251.70974184095,286662
359,2023-09-23,309060.92056938924,286662
360,2023-09-24,311948.5877471333,286662
361,2023-09-25,247675.39462246778,286662
362,2023-09-26,126307.91004211,286662
363,2023-09-27,59322.90653424713,286662
364,2023-09-28,2889254.3625567993,361747
365,2023-09-29,2504952.9585681893,361747
366,2023-09-30,2389715.8664082196,361747
367,2023-10-01,3332432.568735632,361747
368,2023-10-02,1497394.3307957547,361747
369,2023-10-03,1454227.180753376,361747
370,2023-10-04,1204914.7074709476,361747
371,2023-10-05,1618717.1162063454,361747
372,2023-10-06,1078458.4226228886,361747
373,2023-10-07,1021337.6142179609,361747
374,2023-10-08,925864.7267576206,361747
375,2023-10-09,748776.7725105028,361747
376,2023-10-10,667889.763006185,361747
377,2023-10-11,600693.631104293,361747
378,2023-10-12,629819.0139410221,361747
379,2023-10-13,607648.0466324984,361747
380,2023-10-14,657621.2183620712,361747
381,2023-10-15,623535.4622357199,361747
382,2023-10-16,742567.4177257061,361747
383,2023-10-17,414791.70100880327,361747
384,2023-10-18,2350676.063089031,240268
385,2023-10-19,934380.975575161,240268
386,2023-10-20,720573.4858811793,240268
387,2023-10-21,667268.5582384729,240268
388,2023-10-22,546177.9627371207,240268
389,2023-10-23,470054.8989965705,240268
390,2023-10-24,432767.35726642946,240268
391,2023-10-25,420964.8172425022,240268
392,2023-10-26,378019.6990487032,240268
393,2023-10-27,396394.6783588318,240268
394,2023-10-28,370789.8539112584,240268
395,2023-10-29,341464.0475765969,240268
396,2023-10-30,348760.28098965995,240268
397,2023-10-31,364876.43970253534,240268
398,2023-11-01,826234.4745931224,240268
399,2023-11-02,391707.01840969344,240268
400,2023-11-03,513493.8811919194,240268
401,2023-11-04,342629.8904655018,240268
402,2023-11-05,297552.2513207477,240268
403,2023-11-06,244218.17760581872,240268
404,2023-11-07,130300.7543237007,240268
405,2023-11-08,76328.70547234318,240268
406,2023-11-09,4716061.8931556605,366502
407,2023-11-10,3529668.5871872203,366502
408,2023-11-11,3056997.1517992294,366502
409,2023-11-12,2541221.0615787553,366502
410,2023-11-13,1925082.1731236724,366502
411,2023-11-14,1726538.884011416,366502
412,2023-11-15,1533548.2250619535,366502
413,2023-11-16,1869959.6567072358,366502
414,2023-11-17,1485364.745835087,366502
415,2023-11-18,1456742.6761897146,366502
416,2023-11-19,1328177.9316511804,366502
417,2023-11-20,1196023.4665618362,366502
418,2023-11-21,1077961.805559482,366502
419,2023-11-22,945006.7721028245,366502
420,2023-11-23,1045479.2692099225,366502
421,2023-11-24,1132927.9427321574,366502
422,2023-11-25,1222038.4374716722,366502
423,2023-11-26,1256362.5144679085,366502
424,2023-11-27,1194251.946472067,366502
425,2023-11-28,773061.9585413033,366502
426,2023-11-29,720312.0069781675,202021
427,2023-11-30,373737.36348184734,202021
428,2023-12-01,788373.1962742743,202021
429,2023-12-02,531039.2627773194,202021
430,2023-12-03,448699.5108688278,202021
431,2023-12-04,380703.26311725524,202021
432,2023-12-05,339268.1070801483,202021
433,2023-12-06,263587.92676680913,202021
434,2023-12-07,219727.87796304037,202021
435,2023-12-08,392047.2031039934,202021
436,2023-12-09,334788.3658194532,202021
437,2023-12-10,338072.2024109912,202021
438,2023-12-11,271929.8519590443,202021
439,2023-12-12,248825.3658508207,202021
440,2023-12-13,175502.68613528716,202021
