Unnamed: 0,Date,Primogem Used,Total Users,Average Used,Primogem Supplied
607,2024-05-28,166716.60244144232,176189,0.9462372931422638,105.0
608,2024-05-29,142859.66632446885,176189,0.8108319266496141,0.0
609,2024-05-30,138003.5628481522,176189,0.7832700273464984,0.0
610,2024-05-31,174501.05565111438,176189,0.9904196950497158,0.0
611,2024-06-01,444996.3793190745,176189,2.5256762869366107,0.0
612,2024-06-02,224929.51989045567,176189,1.276637700937378,0.0
613,2024-06-03,171293.37833459518,176189,0.9722138063931073,20.0
614,2024-06-04,79862.77223986182,176189,0.4532789915367124,920.0
615,2024-06-05,37863.96858538778,176189,0.21490540604344074,0.0
616,2024-06-06,1789005.102882214,278373,6.426647350433461,0.0
617,2024-06-07,1552950.9096298732,278373,5.5786693020870315,420.0
618,2024-06-08,1087598.3086547058,278373,3.906982030062922,0.0
619,2024-06-09,1118698.5574917395,278373,4.018703529048218,380.0
620,2024-06-10,783353.7942769588,278373,2.8140437264999076,20.0
621,2024-06-11,805124.6250018069,278373,2.8922511342759782,200.0
622,2024-06-12,648936.203409358,278373,2.3311750902902153,0.0
623,2024-06-13,578373.5883046861,278373,2.07769283768428,0.0
624,2024-06-14,569667.8821704435,278373,2.0464193085193014,0.0
625,2024-06-15,591443.0898214526,278373,2.124642439537788,0.0
626,2024-06-16,904456.7757627768,278373,3.2490822592808097,0.0
627,2024-06-17,546945.0700055765,278373,1.9647920955177998,20.0
628,2024-06-18,519212.8658494371,278373,1.865169631571442,140.0
629,2024-06-19,482416.0476138526,278373,1.7329843325820127,140.0
630,2024-06-20,539263.5645930095,278373,1.937197805078113,140.0
631,2024-06-21,409997.6158169138,278373,1.4728354251917886,0.0
632,2024-06-22,410374.0314667605,278373,1.474187624039546,0.0
633,2024-06-23,400471.2360274824,278373,1.4386137880738519,0.0
634,2024-06-24,351998.9672574121,278373,1.2644867399403394,0.0
635,2024-06-25,290592.88168156653,278373,1.0438975104682082,200.0
636,2024-06-26,2500898.026667763,256384,9.754501164923564,100.0
